tenant_id,group,task,request_rate,expected_period_s,buffer_size,n_sampling_requests,n_training_requests,median_loop_period_s,mean_loop_period_s,p25_loop_period_s,p75_loop_period_s,cv_loop_period,iqr_over_median,mae_after_1_loop_s,mae_after_2_loops_s,mae_after_3_loops_s,mae_after_5_loops_s,relative_mae_after_3_loops
apibank-shared,Group,apibank,5.0,0.2,64,2573,40,337.4716146669998,347.21975660225644,317.7478276984998,365.95700969000035,0.11713719450900281,0.14285403540997355,33.57556498996054,32.96098539593245,32.308617521666676,30.252380820720592,0.09573728905628763
countdown-A,Personal,countdown,1.0,1.0,64,1157,18,778.6119288829996,777.4728262842941,737.4629084920007,829.189192495,0.07020910679497525,0.11780744758764528,50.40596368771891,52.8886588864335,55.7556625808573,59.17881149604182,0.071609052613469
gsm8k-A,Personal,gsm8k,1.0,1.0,64,1004,15,875.6496808694999,893.1769407865714,850.8914245599995,938.5127359872502,0.07450789735098531,0.10006434461352715,61.268110542423145,64.11081498295839,60.054895961954614,57.614626365055706,0.06858324427449285
gsm8k-shared,Group,gsm8k,10.0,0.1,64,1091,17,804.9997399630001,817.6284946961875,758.6850477830005,854.0558219920001,0.10118677520033717,0.11847304970978385,80.6494539415999,77.07516943042846,77.91890856669218,55.9090324687271,0.09679370650513941
humaneval-A,Personal,humaneval,1.0,1.0,64,896,14,992.975288296,1004.9536686643846,981.9326466650009,1022.4139899460006,0.05879981945733032,0.040767724794509116,47.800065963875056,37.39597725022734,38.24041956915007,38.589423697500024,0.03851094787542268
humaneval-shared,Group,humaneval,10.0,0.1,64,1188,18,720.9289943929998,753.7813963010587,666.4236104409993,813.5429343619999,0.12873858168181404,0.20406909011180857,97.52532830228117,101.38057671449991,102.39244183192848,107.38117037512491,0.14202846969435567
ifeval-A,Personal,ifeval,1.0,1.0,64,459,7,1882.027797763,1941.7834221679998,1856.2010623024998,1970.5447333912502,0.0723294920769216,0.06075556972360376,114.25244718560035,140.6197361995005,72.20475206433396,66.5262301670009,0.0383654014835261
math-A,Personal,math,1.0,1.0,64,564,8,1618.9360949969996,1623.0450234322857,1503.7393592865,1721.4363564090002,0.09993880654057297,0.13446917256045463,167.74999362325002,111.14221615589994,135.05449639162498,84.87167770025007,0.08342175877663366
mbpp-A,Personal,mbpp,1.0,1.0,64,902,14,1018.6676514030005,1010.6155325456153,993.2403858409998,1030.3919362309998,0.03718762087271801,0.03647072756146871,33.012937417875094,30.351221166772824,32.98458282795009,35.839937207125104,0.03238012199810288
mbpp-shared,Group,mbpp,10.0,0.1,64,1052,16,857.2269774559991,857.7156830872666,832.7533281114997,896.5728851549998,0.0581164211352083,0.07444884344738888,46.83382775078591,49.91430775115406,50.74079290550022,50.16416075000025,0.059191782619912606
toolbench-shared,Group,toolbench,5.0,0.2,64,1375,21,649.3744517509999,657.91760251395,620.9196515804999,689.3512165467506,0.07578192151081561,0.10538074724333395,47.563507256026455,44.437445864027936,44.30062508120607,45.22886731383357,0.06822046195650606
